id,name,group,short_description,识别锚点,线条与造型,人物设计,色彩体系,上色与渲染,光影,分镜与版式,材质与表面,最适合题材,避免混淆,GPT_Image_2_5_核心提示词
11,运动漫画,东亚商业数字漫画,依靠身体动态、动作轨迹、速度线和运动特写表现比赛与竞技张力。,身体动态、汗水、运动轨迹、比分与球体特写,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免静态摆拍,漫画视觉体系：运动漫画。核心识别锚点：身体动态、汗水、运动轨迹、比分与球体特写。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免静态摆拍。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
12,料理漫画,东亚商业数字漫画,食物特写与人物夸张反应结合，强调香气、质感和品尝瞬间。,食物极致特写、蒸汽、油润高光、品尝反应,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免食物塑料感,漫画视觉体系：料理漫画。核心识别锚点：食物极致特写、蒸汽、油润高光、品尝反应。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免食物塑料感。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
13,战斗漫画,东亚商业数字漫画,破框、冲击波、爆炸构图和极端透视集中表现战斗爆发力。,破框、冲击波、空间破坏、连续攻击,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免规则均匀页面,漫画视觉体系：战斗漫画。核心识别锚点：破框、冲击波、空间破坏、连续攻击。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免规则均匀页面。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
14,机甲漫画,东亚商业数字漫画,机械结构、复杂零件、HUD与巨大尺度反差形成硬核科幻感。,精密机械结构、驾驶舱HUD、巨大尺度,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免软塌玩具化机体,漫画视觉体系：机甲漫画。核心识别锚点：精密机械结构、驾驶舱HUD、巨大尺度。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免软塌玩具化机体。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
15,赛博朋克漫画,东亚商业数字漫画,霓虹、故障、数字界面与高密度都市背景，强调未来城市氛围。,霓虹、故障、义体、雨夜反射、高密度城市,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免明亮乌托邦,漫画视觉体系：赛博朋克漫画。核心识别锚点：霓虹、故障、义体、雨夜反射、高密度城市。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免明亮乌托邦。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
16,日式恐怖漫画,东亚商业数字漫画,密集排线、诡异面部特写、黑白反差和突然空白制造压迫感。,密集排线、诡异面孔、黑白压迫、突然特写,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免可爱化,漫画视觉体系：日式恐怖漫画。核心识别锚点：密集排线、诡异面孔、黑白压迫、突然特写。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免可爱化。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
17,日式悬疑漫画,东亚商业数字漫画,眼睛、手部、物证等碎片特写频繁出现，依靠信息差推进推理。,物证碎片、眼睛与手部特写、信息差推理,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免一次性展示真相,漫画视觉体系：日式悬疑漫画。核心识别锚点：物证碎片、眼睛与手部特写、信息差推理。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免一次性展示真相。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
18,昭和漫画,东亚商业数字漫画,粗墨线、旧纸、复古印刷色和朴素人物造型，具有明显年代感。,旧纸、粗墨线、复古印刷色、朴素人物,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免现代高清数码,漫画视觉体系：昭和漫画。核心识别锚点：旧纸、粗墨线、复古印刷色、朴素人物。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免现代高清数码。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
19,80–90年代日漫,东亚商业数字漫画,手绘密度高、赛璐璐硬阴影、复古动画色彩和强烈机械或都市气息。,80–90年代手绘赛璐璐、胶片颗粒、都市机械感,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免现代HDR光滑感,漫画视觉体系：80–90年代日漫。核心识别锚点：80–90年代手绘赛璐璐、胶片颗粒、都市机械感。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免现代HDR光滑感。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
20,平成青春漫画,东亚商业数字漫画,柔和清新的数字线稿与轻电影感，适合青春、友情和恋爱故事。,柔和夏日校园、车站祭典、夕阳和轻青春感,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免强战斗冲击,漫画视觉体系：平成青春漫画。核心识别锚点：柔和夏日校园、车站祭典、夕阳和轻青春感。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免强战斗冲击。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
21,当代 Web Manga,东亚商业数字漫画,线条干净、数字上色清晰，适合手机阅读和快速连载。,手机阅读友好、干净数字线、现代快节奏,清晰数字线稿，轮廓和表情优先,角色造型和表演必须服务该类型；不要只换滤镜或背景。,人物与背景综合色彩分离，重点镜头增强对比,数字上色，角色/环境/特效分层,光影服从题材和类型；关键镜头强化视觉焦点。,远中近景、表情特写和关键大格交替,画面干净，按需加入速度线、网点和粒子,选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材,避免旧印刷纹理,漫画视觉体系：当代 Web Manga。核心识别锚点：手机阅读友好、干净数字线、现代快节奏。线条与造型：清晰数字线稿，轮廓和表情优先。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：人物与背景综合色彩分离，重点镜头增强对比。上色/渲染：数字上色，角色/环境/特效分层。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：远中近景、表情特写和关键大格交替。材质：画面干净，按需加入速度线、网点和粒子。题材建议：选择都市、校园、冒险、竞技、悬疑等最能体现商业漫画表现力的题材。风格区分：避免旧印刷纹理。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
